Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Viêm kết mạc mạn,mệt mỏi,sốt,kéo dài,đau mắt,mắt đỏ,,,
Viêm đường mật,chán ăn,mệt mỏi,buồn nôn,vàng da,sốt,,,
Nhiễm trùng trực tràng,táo bón,đầy hơi,ớn lạnh,,,,,
Viêm dây thanh,ho,đau họng,,,,,,
Viêm vòm họng mạn,sốt,mệt mỏi,khàn tiếng,đau họng,,,,
Viêm cột sống mạn,cứng khớp,đau bụng dưới,đau xương,kéo dài,hạn chế vận động,đau khớp,,
Lao gân gót,sụt cân,đau xương,sốt nhẹ,sưng khớp,đau khớp,cứng khớp,hạn chế vận động,
Viêm nang lông mạn,mệt mỏi,ngứa,mụn nước,bong tróc da,,,,
Viêm hồi tràng mạn,đi ngoài ra máu,đau bụng,táo bón,đầy hơi,tiêu chảy,,,
Viêm niệu quản mạn,sốt,mệt mỏi,tiểu buốt,đau lưng,,,,
Ung thư tai ngoài,ho,mệt mỏi,khàn tiếng,chán ăn,sụt cân,đau họng,,
Nhiễm trùng tuyến bã,mụn nước,bong tróc da,da đỏ,ngứa,,,,
Ung thư trung thất,thở khò khè,sụt cân,khó thở,đau ngực,chán ăn,ho,,
Ung thư ruột non,tiêu chảy,sụt cân,mệt mỏi,đau bụng,đi ngoài ra máu,đầy hơi,chán ăn,táo bón
Viêm phế quản mạn,khó thở,đau ngực,ho,ho có đờm,mệt mỏi,,,
Nhiễm trùng đại tràng,tiêu chảy,đầy hơi,đi ngoài ra máu,ớn lạnh,đau bụng,,,
Viêm bao hoạt dịch mạn,sưng khớp,đau khớp,mệt mỏi,hạn chế vận động,sốt,,,
Polyp hậu môn,đau bụng,đi ngoài ra máu,đầy hơi,táo bón,,,,
Viêm niệu đạo cấp,tiểu rắt,sốt,tiểu buốt,đau lưng,,,,
Viêm tá tràng,đầy hơi,đau thượng vị,ợ chua,chán ăn,,,,
Ung thư hậu môn,chán ăn,đầy hơi,sụt cân,đi ngoài ra máu,tiêu chảy,mệt mỏi,,
Ung thư nang lông,phát ban,bong tróc da,sụt cân,mệt mỏi,da đỏ,,,
U lành tính nang lông,da đỏ,bong tróc da,ngứa,,,,,
Lao phổi,sụt cân,ho kéo dài,sốt nhẹ,ho ra máu,,,,
Viêm xoang mạn,mệt mỏi,đau họng,ho,nghẹt mũi,kéo dài,,,
Viêm võng mạc cấp,mắt đỏ,đau đầu,chảy nước mắt,sốt,,,,
Ung thư vòi trứng,ra khí hư,đau khi quan hệ,rối loạn kinh nguyệt,sụt cân,,,,
U lành tính tử cung,đi lại khó,đau bụng dưới,đau khi quan hệ,ra khí hư,,,,
Viêm tuyến tiền liệt,đau bụng dưới,đau khi quan hệ,sốt,,,,,
Viêm ruột thừa,chán ăn,đau hố chậu phải,buồn nôn,đau bụng,,,,
Sốt xuất huyết,chảy máu cam,sốt cao,phát ban,đau sau hốc mắt,đỏ khớp,,,
Ung thư thực quản,sụt cân,đau thượng vị,ợ chua,đầy hơi,mệt mỏi,chán ăn,buồn nôn,
U lành tính màng não,co giật,đau đầu,chóng mặt,yếu liệt tay chân,,,,
Viêm ruột thừa cấp,đầy hơi,tiêu chảy,đi ngoài ra máu,táo bón,sốt,,,
Polyp đại tràng,đi ngoài ra máu,đầy hơi,đau bụng,,,,,
Viêm hậu môn,sốt,đau bụng,đầy hơi,tiêu chảy,khát nước nhiều,,,
Ung thư ruột thừa,mệt mỏi,đau bụng,đầy hơi,tiêu chảy,sụt cân,táo bón,,
U lành tính tinh hoàn,ra khí hư,đau lưng,đau khi quan hệ,,,,,
Sởi,ho,chảy nước mắt,sốt cao,ho có đờm,phát ban,,,
Ung thư niệu đạo,chán ăn,sụt cân,mệt mỏi,đau lưng,tiểu rắt,,,
Viêm amidan,đau họng,khó nuốt,ho ra máu,sưng hạch,sưng amidan,,,
U lành tính tinh hoàn,rối loạn kinh nguyệt,ra khí hư,đau khi quan hệ,,,,,
Sốt rét,đổ mồ hôi,buồn nôn,sốt cao,mệt mỏi,đau đầu,ớn lạnh,,
Viêm thực quản mạn,đầy hơi,buồn nôn,kéo dài,ợ chua,sốt,,,
Viêm tai ngoài mạn,khàn tiếng,kéo dài,mệt mỏi,đau tai,ho,,,
Ung thư màng não,tê tay chân,sụt cân,co giật,yếu liệt tay chân,chóng mặt,chán ăn,,
Viêm bể thận mạn,đau lưng,tiểu buốt,tiểu nhiều lần,tiểu rắt,,,,
Suy thận,phù chân,tiểu ít,mệt mỏi,,,,,
Nhiễm trùng tinh hoàn,ra khí hư,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,,,,
Viêm niệu quản cấp,tiểu rắt,đau lưng,tiểu nhiều lần,tiểu buốt,đau dữ dội,,,
Viêm trực tràng,sốt,tiêu chảy,,,,,,
Viêm vòi trứng cấp,lồi mắt,đau dữ dội,ra khí hư,rối loạn kinh nguyệt,sốt,đau bụng dưới,,
Viêm âm đạo mạn,mệt mỏi,đau bụng dưới,kéo dài,đau khi quan hệ,ra khí hư,,,
Viêm âm đạo cấp,sốt,đau bụng dưới,rối loạn kinh nguyệt,ra khí hư,,,,
Sỏi niệu quản,đau quặn thận,đau lưng,tiểu nhiều lần,tiểu rắt,tiểu buốt,tiểu ra máu,,
U lành tính võng mạc,cộm mắt,mắt đỏ,đau mắt,,,,,
Viêm tinh hoàn cấp,đau khi quan hệ,đau bụng dưới,đau dữ dội,rối loạn kinh nguyệt,,,,
Viêm tuyến lệ,cộm mắt,mắt đỏ,đau mắt,,,,,
U lành tính cổ tử cung,đau khi quan hệ,rối loạn kinh nguyệt,,,,,,
Viêm dây thanh cấp,đau dữ dội,đau họng,khàn tiếng,đau tai,,,,
Quai bị,sưng tuyến mang tai,sốt,,,,,,
Zona thần kinh,mụn nước,sốt nhẹ,phát ban,đau rát da,,,,
Suy thận,da xanh xao,mệt mỏi,tiểu ít,phù chân,khó thở,,,
Viêm vòm họng cấp,sốt,đau tai,đau họng,nghẹt mũi,,,,
Ung thư khí quản,ho có đờm,sụt cân,ho,đau ngực,,,,
Ung thư tâm vị,ợ chua,buồn nôn,đầy hơi,chán ăn,sụt cân,mệt mỏi,đau thượng vị,
Thoái hóa gân gót,đau khớp,cứng khớp,,,,,,
Viêm tuyến bã,sốt,mụn nước,da đỏ,bong tróc da,,,,
Viêm võng mạc cấp,mờ mắt,mắt đỏ,sốt,cộm mắt,chảy nước mắt,,,
Nhiễm trùng tử cung,đau bụng dưới,sốt,ớn lạnh,ra khí hư,đau khi quan hệ,,,
Viêm nội tâm mạc mạn,hồi hộp,khó thở,đau ngực,sốt,,,,
Viêm bể thận mạn,mất ngủ,kéo dài,tiểu rắt,tiểu ra máu,mệt mỏi,tiểu buốt,tiểu nhiều lần,
Viêm cổ tử cung cấp,đau bụng dưới,đau khi quan hệ,đau dữ dội,rối loạn kinh nguyệt,,,,
Viêm cột sống,đau xương,sưng khớp,,,,,,
Viêm niệu quản mạn,sốt,kéo dài,tiểu buốt,đau lưng,,,,
Viêm bàng quang,tiểu rắt,tiểu nhiều lần,tiểu buốt,đau bụng dưới,,,,
Viêm gan cấp,sốt,mệt mỏi,,,,,,
Hen suyễn,đau ngực,khó thở,thở khò khè,,,,,
Viêm trung thất cấp,đau dữ dội,đau ngực,thở khò khè,sốt,,,,
Gout,đau khớp,nóng khớp,đỏ khớp,sưng khớp,đau dữ dội về đêm,,,
Viêm móng cấp,da đỏ,sốt,bong tróc da,đau dữ dội,mụn nước,,,
Nhiễm trùng tinh hoàn,đau bụng dưới,sốt,rối loạn kinh nguyệt,đau khi quan hệ,,,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,,,,,,
Viêm cổ tử cung cấp,đau khi quan hệ,đau bụng dưới,ra khí hư,đau dữ dội,mắt đỏ,,,
U lành tính dây thanh,đau họng,nghẹt mũi,ho,,,,,
Sỏi niệu đạo,tiểu ra máu,đau quặn thận,tiểu buốt,hạn chế vận động,đau lưng,,,
Viêm tuyến tiền liệt,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,,,,,
Viêm đường mật,chán ăn,buồn nôn,đau hạ sườn phải,mệt mỏi,sốt,,,
Viêm bể thận mạn,tiểu ra máu,tiểu nhiều lần,tiểu rắt,kéo dài,,,,
U lành tính nang lông,bong tróc da,da đỏ,kéo dài,phát ban,ngứa,,,
Viêm vòi trứng mạn,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,sốt,mệt mỏi,,,
Lao sụn khớp,sưng khớp,hạn chế vận động,đổ mồ hôi đêm,sụt cân,đau xương,cứng khớp,,
Viêm màng phổi,ho có đờm,ho,thở khò khè,khó thở,,,,
Thoái hóa khớp vai,sưng khớp,,,,,,,
Loét dạ dày,ợ chua,đau,nôn ra máu,đau thượng vị,,,,
Viêm móng cấp,phát ban,da đỏ,bong tróc da,ngứa,,,,
Viêm móng mạn,mụn nước,bong tróc da,sốt,phát ban,kéo dài,,,
Viêm tinh hoàn cấp,đau bụng dưới,ra khí hư,đau khi quan hệ,sốt,đau dữ dội,,,
Viêm tinh hoàn mạn,sốt,mệt mỏi,ra khí hư,rối loạn kinh nguyệt,đau khi quan hệ,,,
Viêm tuyến lệ,cộm mắt,sốt,chảy nước mắt,mắt đỏ,đau mắt,,,
Viêm cơ tim mạn,mệt mỏi,hồi hộp,chảy máu cam,kéo dài,khó thở,,,
Viêm cột sống cổ mạn,đau xương,hạn chế vận động,cứng khớp,,,,,
Polyp ruột thừa,đi ngoài ra máu,đau bụng,đầy hơi,,,,,
Viêm manh tràng mạn,đau bụng,đầy hơi,kéo dài,mệt mỏi,,,,
Ung thư lách,đau hạ sườn phải,sụt cân,chán ăn,mệt mỏi,,,,
Hẹp cơ tim,phù chân,đau ngực,mệt mỏi,,,,,
Áp xe phổi,khó thở,thở khò khè,ho,sốt,ho có đờm,đau ngực,sưng,
Viêm khớp gối,cứng khớp,sưng khớp,đau xương,,,,,
Ung thư amidan,chán ăn,sụt cân,khàn tiếng,ho,nghẹt mũi,mệt mỏi,,
Viêm khí quản mạn,thở khò khè,khó thở,mệt mỏi,sốt,kéo dài,ho có đờm,ho,
Viêm động mạch chủ mạn,đau ngực,khó thở,,,,,,
Cảm lạnh,ho,mệt mỏi,hắt hơi,sổ mũi,nghẹt mũi,,,
Viêm tuyến lệ,cộm mắt,đau mắt,,,,,,
Viêm da cấp,bong tróc da,sốt,da đỏ,ngứa,,,,
Sốt xuất huyết,phát ban,buồn nôn,đau khớp,sốt cao,đau sau hốc mắt,đau đầu,chảy máu cam,
Viêm âm đạo mạn,ra khí hư,sốt,đau bụng dưới,rối loạn kinh nguyệt,kéo dài,đau khi quan hệ,,
Viêm vòi trứng mạn,ra khí hư,rối loạn kinh nguyệt,đau bụng dưới,,,,,
Ung thư thận,tiểu rắt,tiểu ra máu,sụt cân,tiểu buốt,đau lưng,,,
Viêm gan,nước tiểu sẫm màu,vàng da,chán ăn,mệt mỏi,,,,
Thoái hóa bao hoạt dịch,đau khớp,đau dữ dội,cứng khớp,đau xương,,,,
Viêm họng mạn,đau họng,mệt mỏi,đau tai,kéo dài,khàn tiếng,,,
Hẹp van tim,phù chân,khó thở,mệt mỏi,,,,,
Áp xe phế quản,sốt,ho có đờm,đau ngực,thở khò khè,đau,sưng,,
Sốt xuất huyết,đau sau hốc mắt,buồn nôn,phát ban,chảy máu cam,sốt cao,đau khớp,,
Viêm khí quản mạn,kéo dài,ho có đờm,ho,khó thở,mệt mỏi,thở khò khè,,
Viêm dây thanh mạn,sốt,đau tai,khàn tiếng,ho,đau họng,nghẹt mũi,kéo dài,
Ung thư mào tinh hoàn,đau khi quan hệ,mệt mỏi,ra khí hư,rối loạn kinh nguyệt,đau bụng dưới,sụt cân,,
Viêm tai ngoài,mất hứng thú,sốt,nghẹt mũi,đau tai,,,,
Cảm lạnh,ho,nghẹt mũi,sổ mũi,mệt mỏi,,,,
Ung thư màng phổi,chán ăn,mệt mỏi,sụt cân,khó thở,ho có đờm,,,
Viêm động mạch chủ mạn,đau ngực,phù chân,mệt mỏi,kéo dài,,,,
Viêm nang lông cấp,bong tróc da,da đỏ,run tay,mụn nước,sốt,,,
Viêm cổ tử cung,sốt,đau bụng dưới,đau khi quan hệ,ra khí hư,rối loạn kinh nguyệt,,,
Viêm phế quản cấp,thở khò khè,ho có đờm,ho,khó thở,sốt,đau dữ dội,,
Xơ gan,phù chân,chán ăn,mệt mỏi,vàng da,,,,
Lao cột sống cổ,đau đầu,sụt cân,đau khớp,hạn chế vận động,đổ mồ hôi đêm,,,
Thoái hóa khớp gối,đau khớp,cứng khớp,hạn chế vận động,sưng khớp,,,,
Viêm hậu môn cấp,đầy hơi,sốt,tiêu chảy,đau bụng,đi ngoài ra máu,,,
Viêm vòm họng cấp,đau tai,đau họng,khàn tiếng,nghẹt mũi,,,,
Polyp tâm vị,đầy hơi,đau thượng vị,chán ăn,buồn nôn,đi ngoài ra máu,,,
Ung thư xoang,khàn tiếng,mệt mỏi,chán ăn,sụt cân,ho,nghẹt mũi,đau tai,đau họng
Viêm bao hoạt dịch cấp,hạn chế vận động,đau khớp,cứng khớp,,,,,
Viêm cổ tử cung mạn,mệt mỏi,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Thoái hóa khớp háng,đau xương,cứng khớp,hạn chế vận động,đau khớp,sưng khớp,,,
Viêm màng phổi cấp,sốt,ho,đau dữ dội,thở khò khè,,,,
Viêm màng phổi,thở khò khè,ho có đờm,khó thở,ho,,,,
Viêm khớp vai,cứng khớp,sưng khớp,đau xương,,,,,
Nhiễm trùng tử cung,ra khí hư,ớn lạnh,mất hứng thú,đau khi quan hệ,đau bụng dưới,,,
Viêm phế quản cấp,ho,đau ngực,ho có đờm,thở khò khè,sốt,đau dữ dội,,
Viêm tụy cấp,đau dữ dội,chán ăn,đau hạ sườn phải,buồn nôn,vàng da,sốt,nói khó,
Viêm cơ tim,đau ngực,mệt mỏi,sốt,hồi hộp,khó thở,,,
Thoái hóa cột sống,cứng khớp,sưng khớp,đau xương,đau khớp,,,,
U lành tính đường mật,lồi mắt,buồn nôn,,,,,,
U lành tính gan,đau hạ sườn phải,mệt mỏi,buồn nôn,vàng da,chán ăn,,,
U lành tính lách,buồn nôn,vàng da,mệt mỏi,,,,,
Viêm cột sống cổ,hạn chế vận động,cứng khớp,sốt,đau khớp,,,,
Ung thư tiểu phế quản,sụt cân,ho,đau ngực,chán ăn,thở khò khè,ho có đờm,,
Ung thư tử cung,ra khí hư,đau khi quan hệ,sụt cân,đau bụng dưới,chán ăn,,,
Polyp tâm vị,chán ăn,đầy hơi,ợ chua,buồn nôn,,,,
Nhiễm trùng manh tràng,sốt,đi ngoài ra máu,táo bón,đau bụng,,,,
Thoái hóa sụn khớp,đau xương,sưng khớp,đau khớp,,,,,
U lành tính võng mạc,mắt đỏ,đau mắt,cộm mắt,,,,,
Lao bao hoạt dịch,hạn chế vận động,sụt cân,đau khớp,sưng khớp,cứng khớp,,,
Viêm tai ngoài cấp,đau họng,ho,đau tai,,,,,
Nhiễm trùng vòi trứng,ra khí hư,ớn lạnh,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,,,
Viêm tinh hoàn mạn,đau khi quan hệ,kéo dài,rối loạn kinh nguyệt,,,,,
Zona thần kinh,mụn nước,phát ban,,,,,,
U lành tính vòm họng,đau tai,ho,đau họng,nghẹt mũi,,,,
Viêm lách,sốt,vàng da,,,,,,
Quai bị,sốt,sưng tuyến mang tai,,,,,,
Thoái hóa bao hoạt dịch,sưng khớp,đau xương,đau khớp,hạn chế vận động,cứng khớp,,,
Loét thực quản,buồn nôn,ợ chua,nôn ra máu,đau thượng vị,chán ăn,,,
Viêm amidan cấp,đau tai,nghẹt mũi,khàn tiếng,,,,,
Cường giáp,hồi hộp,sụt cân,,,,,,
Viêm trực tràng cấp,táo bón,đi ngoài ra máu,tiêu chảy,đau dữ dội,,,,
Viêm thanh quản cấp,sốt,khó thở,ho có đờm,thở khò khè,ho,,,
Viêm kết mạc,ngứa mắt,,,,,,,
Ung thư ruột non,đi ngoài ra máu,táo bón,đau bụng,đầy hơi,,,,
Ung thư đường mật,vàng da,sụt cân,chán ăn,đau hạ sườn phải,buồn nôn,,,
Viêm mống mắt,mờ mắt,mắt đỏ,đau mắt,,,,,
Viêm buồng trứng,đau khi quan hệ,đau bụng dưới,rối loạn kinh nguyệt,,,,,
Viêm võng mạc mạn,đau mắt,mắt đỏ,kéo dài,cộm mắt,,,,
Viêm nội tâm mạc,đau ngực,mệt mỏi,sốt,phù chân,khó thở,hồi hộp,,
Mề đay,ngứa,nổi mẩn,,,,,,
Ung thư xoang,đau khớp,đau họng,nghẹt mũi,khàn tiếng,sụt cân,chán ăn,,
U lành tính tụy,chán ăn,đau hạ sườn phải,,,,,,
Viêm túi mật,mệt mỏi,chán ăn,,,,,,
Loét tá tràng,buồn nôn,chán ăn,ợ chua,đầy hơi,,,,
Viêm hồi tràng mạn,sốt,kéo dài,đầy hơi,ngứa,mệt mỏi,đau bụng,táo bón,
Viêm tinh hoàn,đau khi quan hệ,rối loạn kinh nguyệt,,,,,,
Viêm niệu quản,tiểu rắt,đau lưng,tiểu buốt,,,,,
Nhiễm trùng manh tràng,ớn lạnh,đầy hơi,sốt,đi ngoài ra máu,táo bón,đau bụng,,
Viêm bờ mi mạn,cộm mắt,mệt mỏi,đau mắt,chảy nước mắt,kéo dài,mờ mắt,,
Viêm trực tràng,đau bụng,đầy hơi,táo bón,tiêu chảy,,,,
Ung thư thực quản,đầy hơi,ợ chua,sụt cân,mệt mỏi,,,,
Áp xe trung thất,ho có đờm,khó thở,thở khò khè,sốt,đau,,,
Nhiễm trùng cổ tử cung,ra khí hư,rối loạn kinh nguyệt,ớn lạnh,đau khi quan hệ,,,,
Viêm gân gót,đau khớp,sưng khớp,sốt,hạn chế vận động,đau xương,,,
U lành tính họng,đau tai,đau họng,nghẹt mũi,ho,,,,
Cảm cúm,đau họng,sốt cao,đau đầu,mệt mỏi,ớn lạnh,đau nhức cơ,,
Viêm trung thất,thở khò khè,ho,khó thở,,,,,
Viêm manh tràng cấp,đau bụng,đau dữ dội,sốt,đầy hơi,,,,
U lành tính mào tinh hoàn,đau bụng dưới,ra khí hư,rối loạn kinh nguyệt,,,,,
Viêm van tim,mệt mỏi,phù chân,,,,,,
Ung thư khí quản,đau ngực,ho,sụt cân,khó thở,,,,
Viêm giác mạc cấp,sốt,mắt đỏ,cộm mắt,chảy nước mắt,,,,
Viêm kết mạc cấp,mờ mắt,chảy nước mắt,đau dữ dội,đau mắt,mắt đỏ,,,
Ung thư họng,đau tai,mệt mỏi,sụt cân,đau họng,khàn tiếng,,,
U lành tính đường mật,buồn nôn,vàng da,đau hạ sườn phải,,,,,
U lành tính mào tinh hoàn,ra khí hư,đau bụng dưới,,,,,,
U lành tính tuyến bã,ngứa,da đỏ,,,,,,
Ung thư xoang,nghẹt mũi,khàn tiếng,mệt mỏi,đau họng,sụt cân,,,
Ung thư xoang,đau tai,sụt cân,nghẹt mũi,khàn tiếng,,,,
Viêm sụn khớp mạn,đau xương,hạn chế vận động,sốt,sưng khớp,đau khớp,,,
Viêm thanh quản mạn,đau ngực,kéo dài,khó thở,thở khò khè,mệt mỏi,,,
Thủy đậu,sốt,mụn nước,ngứa,buồn bã kéo dài,phát ban,,,
Viêm phế quản,đau ngực,khó thở,ho có đờm,,,,,
Sốt rét,đổ mồ hôi,đau đầu,sốt cao,buồn nôn,ớn lạnh,,,
Viêm đại tràng mạn,sốt,đầy hơi,táo bón,đi ngoài ra máu,đau bụng,tiêu chảy,,
Viêm mào tinh hoàn,đau bụng dưới,rối loạn kinh nguyệt,đau khi quan hệ,ra khí hư,,,,
Viêm cột sống,sốt,sưng khớp,đau xương,đau khớp,,,,
U lành tính tuyến tiền liệt,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,,,,,
Viêm sụn khớp mạn,đau khớp,sưng khớp,mệt mỏi,hạn chế vận động,sốt,,,
Ung thư phổi,đau ngực,thở khò khè,khó thở,mệt mỏi,chán ăn,sụt cân,,
Viêm khớp gối,sưng khớp,sốt,cứng khớp,,,,,
Viêm tá tràng cấp,đau dữ dội,buồn nôn,đầy hơi,chán ăn,ợ chua,,,
Ung thư lách,sụt cân,chán ăn,đau hạ sườn phải,,,,,
Viêm thanh quản,thở khò khè,ho,ho có đờm,,,,,
Viêm móng,da đỏ,ngứa,bong tróc da,mụn nước,phát ban,sốt,,
Ung thư trực tràng,đầy hơi,đi ngoài ra máu,sụt cân,,,,,
Viêm trung thất,thở khò khè,đau ngực,khó thở,ho,,,,
Viêm lách mạn,vàng da,buồn nôn,đau hạ sườn phải,kéo dài,,,,
Nhiễm trùng bể thận,ớn lạnh,tiểu nhiều lần,tiểu buốt,tiểu rắt,tiểu ra máu,,,
Viêm amidan,mất ngủ,sưng amidan,đau họng,hôi miệng,sưng hạch,khó nuốt,,
Viêm khớp vai mạn,khó nuốt,cứng khớp,đau xương,hạn chế vận động,đau khớp,,,
Ung thư vòi trứng,sụt cân,ra khí hư,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,chán ăn,,
Thiếu máu,da xanh xao,đau đầu,khó thở,mệt mỏi,,,,
Trào ngược dạ dày,ợ chua,ợ nóng,đau ngực,khó nuốt,ho khan,,,
Viêm võng mạc cấp,cộm mắt,sốt,đổ mồ hôi đêm,mắt đỏ,chảy nước mắt,,,
Ung thư tai ngoài,ho,đau họng,sụt cân,nghẹt mũi,mệt mỏi,,,
Viêm tuyến bã mạn,mụn nước,sốt,ngứa,phát ban,,,,
Hẹp nội tâm mạc,mệt mỏi,hồi hộp,phù chân,khó thở,đau ngực,,,
Ung thư phổi,thở khò khè,ho có đờm,mệt mỏi,khó thở,đau ngực,chán ăn,sụt cân,
Áp xe túi mật,đi lại khó,vàng da,đau hạ sườn phải,sốt,sưng,,,
Áp xe túi mật,đau hạ sườn phải,sốt,vàng da,buồn nôn,chán ăn,,,
Viêm tuyến bã mạn,phát ban,kéo dài,da đỏ,mụn nước,,,,
Ung thư tâm vị,sụt cân,buồn nôn,đầy hơi,đau thượng vị,chán ăn,,,
Viêm sụn khớp,hạn chế vận động,sốt,đau xương,cứng khớp,,,,
Viêm bao hoạt dịch,hạn chế vận động,sưng khớp,cứng khớp,,,,,
Viêm tụy,đau hạ sườn phải,chán ăn,buồn nôn,sốt,,,,
Viêm cột sống cấp,đau dữ dội,cứng khớp,đau khớp,đau xương,ngứa mắt,sưng khớp,hạn chế vận động,
Ung thư tai giữa,đau họng,khàn tiếng,ho,đau tai,nghẹt mũi,mệt mỏi,sụt cân,chán ăn
Sốt xuất huyết,đau dữ dội,đau sau hốc mắt,phát ban,sốt cao,đau đầu,,,
Viêm dây thần kinh,sốt,đau đầu,tê tay chân,chóng mặt,,,,
Viêm tụy mạn,buồn nôn,,,,,,,
Tiểu đường,sụt cân,tiểu nhiều,khát nước nhiều,,,,,
Viêm trực tràng cấp,sốt,đau bụng,táo bón,tiêu chảy,đầy hơi,đi ngoài ra máu,,
Thoái hóa khớp vai,cứng khớp,sưng khớp,đau khớp,,,,,
Ung thư tuyến bã,sụt cân,bong tróc da,mụn nước,phát ban,,,,
Viêm tai ngoài mạn,mệt mỏi,khàn tiếng,sưng,đau họng,ho,,,
Nhiễm trùng ruột non,đi ngoài ra máu,tiêu chảy,ù tai,sốt,đau bụng,ớn lạnh,,
Cường giáp,run tay,hồi hộp,sụt cân,đổ mồ hôi,,,,
Viêm hậu môn cấp,đau bụng,đầy hơi,táo bón,,,,,
Viêm tụy,chán ăn,sốt,buồn nôn,đau hạ sườn phải,,,,
Trĩ,đi ngoài ra máu,đau hậu môn,,,,,,
Viêm cột sống cổ mạn,mệt mỏi,kéo dài,cứng khớp,hạn chế vận động,đau khớp,đau xương,,
Viêm tiểu phế quản mạn,khó thở,thở khò khè,ho,ho có đờm,sốt,đau ngực,,
Ung thư thanh quản,thở khò khè,khó thở,ho có đờm,sụt cân,đau ngực,,,
Ung thư âm đạo,sụt cân,đau khi quan hệ,rối loạn kinh nguyệt,chán ăn,đau bụng dưới,,,
Polyp ruột thừa,đầy hơi,đi ngoài ra máu,đau bụng,,,,,
Áp xe gan,chán ăn,đau hạ sườn phải,sốt,đau,,,,
Viêm phổi mạn,thở khò khè,ho có đờm,sốt,khó thở,,,,
Ung thư gan,sụt cân,vàng da,đau hạ sườn phải,,,,,
Đột quỵ,mờ mắt,chóng mặt,nói khó,đau đầu dữ dội,yếu liệt tay chân,méo miệng,,
Viêm gân gót cấp,đau dữ dội,sốt,hạn chế vận động,đau khớp,cứng khớp,,,
Ung thư ruột thừa,chán ăn,sụt cân,tiêu chảy,táo bón,,,,
Nhiễm trùng nang lông,bong tróc da,ớn lạnh,phát ban,,,,,
Viêm tá tràng,buồn nôn,ợ chua,chán ăn,,,,,
Viêm nội tâm mạc,khó thở,hồi hộp,phù chân,mệt mỏi,,,,
Viêm cơ tim,phù chân,mệt mỏi,sốt,,,,,
Viêm tử cung mạn,mệt mỏi,rối loạn kinh nguyệt,ra khí hư,kéo dài,đau bụng dưới,đau khi quan hệ,,
Thoái hóa cột sống cổ,đau khớp,hạn chế vận động,đau xương,,,,,
Viêm bờ mi,cộm mắt,chảy nước mắt,mắt đỏ,,,,,
U lành tính móng,bong tróc da,da đỏ,ngứa,mụn nước,,,,
Ung thư nang lông,phát ban,sụt cân,ngứa,mụn nước,bong tróc da,da đỏ,chán ăn,
Ung thư bàng quang,tiểu ra máu,sụt cân,đau lưng,tiểu buốt,,,,
Viêm thực quản cấp,sốt,chán ăn,,,,,,
Phình nội tâm mạc,phù chân,hồi hộp,,,,,,
Nhiễm trùng tinh hoàn,đau khi quan hệ,đau bụng dưới,rối loạn kinh nguyệt,,,,,
Sỏi niệu quản,đau lưng,tiểu ra máu,tiểu nhiều lần,,,,,
Viêm ruột thừa cấp,táo bón,sốt,tiêu chảy,đầy hơi,,,,
Phình động mạch chủ,đau ngực,khó thở,mệt mỏi,,,,,
Viêm võng mạc,mắt đỏ,cộm mắt,chảy nước mắt,,,,,
Ung thư đường mật,chán ăn,đau hạ sườn phải,sụt cân,,,,,
Viêm tâm vị cấp,buồn nôn,đầy hơi,sốt,đau dữ dội,chán ăn,,,
Nhiễm trùng mào tinh hoàn,ra khí hư,đau bụng dưới,,,,,,
Suy giáp,tăng cân,ợ nóng,rụng tóc,mệt mỏi,da khô,táo bón,sợ lạnh,
Viêm hồi tràng,táo bón,đau bụng,đi ngoài ra máu,tiêu chảy,,,,
Nhiễm trùng da,mụn nước,,,,,,,
Sỏi thận,đau lưng,buồn nôn,đau quặn thận,,,,,
Viêm cơ tim cấp,đau dữ dội,mệt mỏi,phù chân,sốt,khó thở,hồi hộp,,
Lao sụn khớp,sụt cân,đau xương,hạn chế vận động,sưng khớp,,,,
Trầm cảm,mất hứng thú,buồn bã kéo dài,mất ngủ,chán ăn,,,,
Trào ngược dạ dày,ợ nóng,đau ngực,ợ chua,,,,,
Viêm túi mật,mệt mỏi,chán ăn,buồn nôn,,,,,
Suy giáp,tăng cân,sợ lạnh,mệt mỏi,rụng tóc,táo bón,,,
Viêm móng,ngứa,mụn nước,da đỏ,,,,,
Nhiễm trùng vòi trứng,đau bụng dưới,đau khi quan hệ,,,,,,
Viêm bao hoạt dịch mạn,cứng khớp,mệt mỏi,đau khớp,hạn chế vận động,,,,
Áp xe khí quản,đau ngực,ho có đờm,khó thở,sốt,ho,sưng,,
Ung thư hồi tràng,đi ngoài ra máu,sụt cân,táo bón,đầy hơi,,,,
